Account,Date,Issue 
50391104,1/29/2010,Slow Speeds says only 2Mbps off tap
35780003,1/29/2010,line problem--mulitple frequencies/intermittent--
39262301,1/29/2010,line problem
41865702,1/29/2010,Line Problem wo(44297723)
22921916,1/29/2010,slow speeds directly off tap
61458501,1/29/2010,Line Problem - Super slow I-net speeds at peak times (8pm-12pm)
2894301,1/29/2010,tap port broken.. customer has service off of 2 port splitter right now. drop replaced.
55564801,1/29/2010,noise jc07 CBS.....see log...
24845501,1/29/2010,noise see email from Ben Haikin
35119001,1/30/2010,Line Problem- MTA OFFLINE
43075514,1/30/2010,Line Problem: Tiling all channels or no pic at all. HSI offline. Same problem across the hall at apt 273. Yellow temp on tap
2676806,1/30/2010,AREA NOISE ISSUE AE05 - See attachment and System Log
12495805,1/30/2010,line problem/ dead tap/ no ac - see system log for area issue addresses.
40633803,1/30/2010,Line Problem
23349903,1/30/2010,line problem/ dead tap/ no ac
8374302,1/30/2010,line problem/ dead tap/ no ac
33349003,1/30/2010,LP - Tap change
23206704,1/30/2010,line problem/ dead tap/ no ac
12634302,1/30/2010,"Line problem; dead tap, 6 cust out of service"
5328301,1/30/2010,Line problem; all services out; outage; tap dead
54756802,1/30/2010,Line problem work order # 44302518
12362501,1/30/2010,LP
15545619,1/30/2010,Line Problem
27971202,1/30/2010,"WO# 44298164, not enough voltage coming off tap, only 70-75V"
22746008,1/30/2010,line problem --
42949711,1/30/2010,no ch 18
22767904,1/30/2010,Low/No MER out of tap.
62105501,1/30/2010,line problem---multiple frequencies--
23521212,1/30/2010,line prob
41409405,1/30/2010,line problem
42992703,1/30/2010,"varying internet speeds, tiling"
1312410,1/30/2010,Line Problem - outage see UNO000021735508
30322102,1/30/2010,INTERMITTENT ISSUE**MONITORING** good levels; slow download speeds for hsi;
6017001,1/30/2010,Low levels out of tap
36291606,1/30/2010,Tap pulled away from mainline
23882412,1/31/2010,Line Problem W/O #44304952
23916010,1/31/2010,line problem -
12875701,1/31/2010,tap levels too low
42520001,1/31/2010,NIGHTWORK - line problem ch. 84 no snr and ch.85 pre and no post errors low levels at the tap
35312402,1/31/2010,Pending span replacement (See Log)
43944603,1/31/2010,line problem
48920704,1/31/2010,"line problem -- low rx, high tx"
34295701,1/31/2010,low levels
2086309,1/31/2010,**cable replacement**Line Problem
39272010,1/31/2010,lockbox unsecureable
14190808,1/31/2010,no lock on the lock box
20130204,1/31/2010,Line Problem
10694405,1/31/2010,line problem
56158601,1/31/2010,LP
20518803,1/31/2010,unsecured ped
1082707,2/1/2010,**cable replacement**Line Problem this is from the node report other address's on 56 th and 57 th please chaeck
39783501,2/1/2010,line problem
61924801,2/1/2010,Night work for a TDR shot
34773101,2/1/2010,"low MER off tap,pending night work"
11265702,2/1/2010,[WO# ] cant call 405 682 1990
62394001,2/1/2010,"line issue, CBS PRIORITY, low levels from tap,HD0000020519822"
60201702,2/1/2010,main lline down in middle of of 24th and high way 9
60201702,2/1/2010,LP
45349202,2/1/2010,CBS Priority 40559 S Sheid
49854602,2/1/2010,Line Problem - low MER off tap for channel 99/freq 117MHz
29644801,2/1/2010,line problem
33673603,2/1/2010,low hanging line
17477010,2/1/2010,all services out
61389101,2/1/2010,CBS Packet loss/Noise in node COX RETAIL CENTER
48915604,2/1/2010,lashing wire down infront of house
38665814,2/1/2010,"Line Problem - Tap face needs replace Port 1 on tap bad. Freq lvls fluctuating, high errors."
2110904,2/1/2010,line problem
9952305,2/2/2010,bad ports on tap
6876101,2/2/2010,HD0000020522939
46736911,2/2/2010,[WO# 44312186 ]
16420311,2/2/2010,Broken tap port
8063606,2/2/2010,high trans off tap 54 23-4 port checked diff ports same thing
58527101,2/2/2010,[WO# ] not receiving calls from non cox customers.
34618001,2/2/2010,line problem -pending night work
62318301,2/2/2010,line problem [w.o#44314637]
47970506,2/2/2010,line problem 44312850
62429401,2/2/2010,Tap Face Change Request
0,2/2/2010,DAILY DRIVEOUT 02/02/10 WO 3248846
19151003,2/2/2010,DAILY DRIVEOUT 02/02/10 WO 3248847
20909804,2/2/2010,rideout 02/02/10
7494710,2/2/2010,rideout 02/02/10 wo#3248943
23280901,2/2/2010,line problem-low levels
56158601,2/2/2010,suspect noise causing lost conection. see attatchements to see where pat and i left off
35305501,2/2/2010,Check 14x2 to see why it is not active
8062206,2/2/2010,Line problem WO # 44319249
8877902,2/2/2010,Line Problem
33907901,2/2/2010,"WO# 44312738 low levels off tap, with errors"
23265313,2/2/2010,on install..... needs to be changed to a 4 port tap w/o44311781
28029102,2/2/2010,LP
30824503,2/2/2010,line problem- low levels off tap
174007,2/2/2010,Line Problem
32114403,2/2/2010,*****next level***** line problem w/o #44317862
21202314,2/2/2010,line problem [wo# 44314731]
60293201,2/3/2010,CBS Priority Haystack on 21mghz Soc Verified
54980205,2/3/2010,Line Problem rf to hot out of tap please call me on my radio so i can verify home cert levels when issue is fixed. Thanks
4227003,2/3/2010,Line Problem -MER bouncing from 33 to 36 at tap...Wrong Tap..There is a 23v2pt with 3 drops and there should be a 23v4pt
52851-02,2/3/2010,Other
45567408,2/3/2010,Line Problem -- low levels on high-end
8331410,2/3/2010,line problem
33438702,2/3/2010,smoking tap
37139908,2/3/2010,line problem
46626903,2/3/2010,"Plant Damage ""broken tap port"" 17-4 small SA horeshoe tap. Noticed when i did a disco on monday. pole access thru park"
17803403,2/3/2010,Line Problem
46538702,2/3/2010,"Plant Damage "" broken tap port regal widebody 23-8 also ped is drilled out unsecurable"
0,2/3/2010,DAILY DRIVEOUT 02/03/10 WO 3251540
18900206,2/3/2010,DAILY DRIVEOUT 02/03/10 WO 3251541
0,2/3/2010,DAILY DRIVEOUT 02/03/10 WO 3251542
0,2/3/2010,rideout 02/03/10 wo#3251610
0,2/3/2010,rideout 02/03/10 wo#3251611
5374511,2/3/2010,INSTALL PRI DEAD TAP
37371411,2/3/2010,line problem
53442702,2/3/2010,leak
20184817,2/3/2010,Line Problem
24691514,2/3/2010,need 2 taps in the same beast box replaced moto 20/8 and 23/8
54798201,2/3/2010,**priority** intermit latency on data and digital tiling. remedy # HD0000020523016
22406301,2/3/2010,Line Problem- Frequency 789.00 (Fox News HD) tiling.
11435403,2/3/2010,line problem- high tx low signal
2441207,2/3/2010,LINE PROBLEM NO SYNCH MODEM
34089301,2/3/2010,"High levels, low transmit"
62089101,2/3/2010,line problem [w.o#44319461]
19676808,2/3/2010,No signal out of tap -- also one tap port broke off
524901,2/3/2010,Line Problem pre and post on 99
9620901,2/3/2010,Line Problem
43648010,2/4/2010,Int slow speeds.
15493704,2/4/2010,line problem -wo # (44323204)
1959203,2/4/2010,Line Problem - wrong tap value and verify levels
62313901,2/4/2010,New Install Priority No Sync
50371906,2/4/2010,Line Problem
14899406,2/4/2010,Overdrive off tap / tap change
14368007,2/4/2010,LINE PROBLEM + [44325023]
47886304,2/4/2010,***INSTALL PRI***
59842401,2/4/2010,HD0000020528149
58574601,2/4/2010,CBS Priority Noise-Packet loss see attachment!!
10043707,2/4/2010,Line Problem
39723605,2/4/2010,low signal off tap
0,2/4/2010,DAILY DRIVEOUT 02/04/10 WO 3253998
0,2/4/2010,DAILY DRIVEOUT 02/04/10 WO 3253999
18089504,2/4/2010,Line problem would not load docsis test said downstream failure multiple times
25348404,2/4/2010,Line Problem
0,2/4/2010,DAILY DRIVEOUT 02/04/10 WO 3254000
44856401,2/4/2010,line problem bad mer on data carrier
38186201,2/4/2010,Line Problem
6207301,2/4/2010,"reverse tilt off Tap, intermit dig tiling"
11733409,2/4/2010,Line Problem
8063606,2/4/2010,line problem
18080116,2/4/2010,"line problem, low tx on mta, and low rdc on digi box [WO# 44326318]"
21107702,2/4/2010,carl manger
7054501,2/4/2010,Line Problem
35824502,2/4/2010,Area Issue - Digital Tiling/Blackscreen [WO#44329866]
57397901,2/4/2010,mer is going up and down on ch 704 585mhz was 27db to 32db
19712016,2/4/2010,"line problem, low transmit levels at tap, 31 at tap with dsam"
35823305,2/5/2010,Area Issue see log
45110409,2/5/2010,Line Problem Bad levels off tap install
14562405,2/5/2010,bad levels out of tap.
5014101,2/5/2010,line problem...(DO NOT KNOCK ON CST DOOR)
41833904,2/5/2010,line problem
32952604,2/5/2010,line problem--bad tap--
60651501,2/5/2010,CBS Priority
45558501,2/5/2010,Line problem low levels per FNT Trunk needs to be cut over
10903807,2/5/2010,line problem -call fsr radio 1998 Brenton....
21165606,2/5/2010,line problem
17942802,2/5/2010,Line Problem (44328807)
55887701,2/5/2010,HD0000020525574
43667301,2/5/2010,Noise...causing phone intermit DT...remind FNT to create a maint ticket if posting.
14075318,2/5/2010,unsecure lock box - no tech or work order number before i resolved no way to get info - JMR
5981402,2/5/2010,low signal off tap; bad niu (per contractor)
12057004,2/5/2010,line problem [44331974]
45775504,2/5/2010,Line Issue Low levels
60651501,2/5/2010,CBS Priority
43667301,2/5/2010,"Line Problem - Very low MER out of tap on 99, also pre and post errors off the tap for 99 as well. water damage on tap"
0,2/5/2010,rideout 02/05/10 wo#3256299
0,2/5/2010,DAILY DRIVEOUT 02/05/10 WO 3256261
2603217,2/5/2010,line problem
56685902,2/5/2010,noise HD20531435
52550201,2/5/2010,44335834 wo #
24225315,2/5/2010,packet loss off tap 20-8 there are two taps. Tryed second one same thing channel 99
40354905,2/5/2010,Line Problem (44330392)
41221311,2/5/2010,line problem
6117701,2/5/2010,Noise in node.
6772302,2/5/2010,line problem--next level--low level ch132--low mer freq585
46471604,2/5/2010,line problem and damage
16600204,2/5/2010,Line Problem w/o(44331807)
19828405,2/5/2010,line problem
16661406,2/5/2010,Line Problem w/o(44334507)
27516501,2/5/2010,Line Problem - AM PRI NO SYNC ON MODEM
31291007,2/5/2010,low signal at tap
7394802,2/5/2010,line problem
2767415,2/5/2010,44333051 ........line problem........won't lock on freq 519
17894207,2/5/2010,Line Problem
19745404,2/5/2010,Line Problem - NDT PRI
6439703,2/5/2010,"line problem, port 2 is bad, also hi transmit and rdc at tap"
5031004,2/6/2010,line problem no trasmit
17803506,2/6/2010,Line Problem
17211704,2/6/2010,line prob. service affecting - NO AC at tap
22835909,2/6/2010,LINE PROBLEM + [44299318]
22686811,2/6/2010,Line Problem
55047302,2/6/2010,Line Problem. low tx @ tap w/o # 44327740
233412,2/6/2010,BEAST BOX MISSSING LID PER GLACIER TECH
26106602,2/6/2010,Line Problem - Noise in the Node AH18
8909006,2/6/2010,**OGE DAMAGED MAINLINE AND TAP**
53184002,2/6/2010,Line Problem -- low levels at tap
19502219,2/6/2010,line problem dead at tap
5012602,2/6/2010,Line Problem
34296904,2/6/2010,Line Problem
19502916,2/6/2010,Dead at the tap
50657203,2/6/2010,LP-
43915211,2/6/2010,"Line Problem pre erros e-4, post errors e-7, DQI 4 out of tap on channel 99"
20841104,2/6/2010,Line Problem - 585 mhz mer problem at tap.
9649701,2/6/2010,Line Problem pre and post 98 99
10947006,2/6/2010,Line Problem pre post 99 ESR000000344851
6086701,2/6/2010,line problem high transmit off tap/ affecting phone
1605608,2/6/2010,"Slow Hsi speeds on Premier, Repeat Issue"
16129613,2/6/2010,ped/tap replacement Unsecurable Ped
17554011,2/6/2010,Ped was run over by an automobile. Services were not affected.
422001,2/6/2010,line problem - NDT PRI
44200512,2/6/2010,Intermittent tiling.. Frquency 771 getting errors @ tap and DQI ranging from 10 to 9
54756802,2/6/2010,slow speeds out of the node see attatchments for details
47648501,2/7/2010,Line Problem
7432614,2/9/2010,line problem high tx at the tap
659003,2/10/2010,Line Problem
33574905,2/7/2010,Ped rusted out
24499425,2/7/2010,lock box damaged
18591904,2/7/2010,priority on an install/low levels failing hsi install
15704417,2/7/2010,line problem-low signal/ high tx
24381405,2/7/2010,line problem
5427011,2/7/2010,line problem [w.o.#44337723]
32857511,2/7/2010,"Line Problem -Slow speeds off of tap, Ran temp line, new modem,still slow speeds."
8809818,2/7/2010,lock box not secured
62266901,2/7/2010,line problem
8314208,2/7/2010,"Line problem - Low levels, MTA offline"
9147017,2/7/2010,high levels
23193008,2/8/2010,digi tiling freq 585 low s/n
23214202,2/8/2010,line problem
43012202,2/8/2010,DQI fluctuates on 795
62428201,2/8/2010,CBS Tap Change
9997103,2/8/2010,line problem [44344959]
19589002,2/8/2010,customer is having issue w/ freq 687 HD chs black screen mer at tap is at a 29 Freq 117 has low tx at tap it is at a 19
25536004,2/8/2010,line problem- high signal on ch 80 for phone
3046616,2/8/2010,line problem ch 99 low mer out of tap with pre errors 29mer on 99
23210501,2/8/2010,east tower 6th floor and above have no pic in the rooms.
61755001,2/8/2010,Line Problem - not enough taps per node map
0,2/8/2010,DAILY DRIVEOUT 02/08/10 WO 3259023
51117402,2/8/2010,DAILY DRIVEOUT 02/08/10 WO 3259024
0,2/8/2010,DAILY DRIVEOUT 02/08/10 WO 3259025
39175806,2/8/2010,Line Problem
20394411,2/8/2010,high levels
55944005,2/8/2010,Line Problem - low lvls
2074001,2/8/2010,line problem- w/o#44344283 23/4 Tap Customer states int.ermittant digital tiling all day 2/7 Levels were good on 2/8 @4:23pm
10010517,2/8/2010,[WO# ]
7494710,2/8/2010,tap has leak of 1100 uvm
57677302,2/8/2010,Freq 825.00 Ber 9.0 Sig 17 Mer 39 / 645.00 Ber 7.1 Sig 16 Mer 38 Sig jumps up an down 3dbs
10812403,2/9/2010,carl manger
37477101,2/9/2010,modem offline. dead at tap
26111209,2/9/2010,Replace tap antec 20/8 one broken port
33642203,2/9/2010,incorrect tap
38436502,2/9/2010,bad mer for ch. 99 and there is 120uv leak at the tap
9719201,2/9/2010,wrong tap port
62401501,2/9/2010,CBS Priority Packet loss/ noise
12875701,2/9/2010,line problem tap levels too low
42520001,2/9/2010,line problem ch. 84 no snr and ch.85 pre and no post errors low levels at the tap
23675814,2/9/2010,Return Noise with file
52238404,2/9/2010,line problem [44345407]
0,2/9/2010,DAILY CRIVEOUT 02/09/10 WO 3261594
0,2/9/2010,rideout 02/09/10 wo#3261637
11840803,2/9/2010,Line Problem-Low levels channel 99 MDM no sync!
0,2/9/2010,DAILY DRIVEOUT 02/09/10 WO 3261595
26914702,2/9/2010,"WO# 44349930, errors on channel 99"
0,2/9/2010,DAILY DRIVEOUT 02/09/10 WO 3261596
23773715,2/9/2010,"**NIGHTWORK**Line Problem ch. 99 has low levels at the tap,"
35067202,2/9/2010,line problem
60293201,2/9/2010,CBS Priority Intermittent Packet loss Pre + Post Errors
25548206,2/9/2010,low levels intermit no dial tone
34620702,2/9/2010,"Line problem - Low levels, install"
9854101,2/9/2010,"intermittent dial tone. signal is intermttent at tap face. exposed a/c plug on tap, reported levels are intermittent."
18434113,2/9/2010,Strand broken laying on the ground
43521414,2/9/2010,line problem
12877707,2/9/2010,High packet loss off Tap Chan 99 tran 30 mer 39 level 9.0 ber 6.0 post 3.5 / chan 129 level 13 ber 9.8 post 7.2
2201003,2/9/2010,line problem- w/o#44350117 Slow speeds 3mbps down on preferred tier dispatch said no issue with balancing or service
1127105,2/9/2010,Line Problem
4476504,2/9/2010,Line Problem - digi boxes not auth
30913209,2/10/2010,LINE PROB
12861501,2/10/2010,digitiling and mta off line
21535611,2/10/2010,lp-(WO 44352207)
30491901,2/10/2010,line problem WO # 44353924
10103614,2/10/2010,line problem wont even do a DQI test on 99
54505501,2/10/2010,bad tap. 23x4. have port #2 has 12/-11
11733409,2/10/2010,Line Problem
39500422,2/10/2010,Ped Replacement unsecure pedestal
19294305,2/10/2010,Line problem
41217906,2/10/2010,DAILY DRIVEOUT 02/10/10 WO 3263875
41412002,2/10/2010,DAILY DRIVEOUT 02/10/10 WO 3263876
0,2/10/2010,DAILY DRIVEOUT 02/10/10 WO 3263877
14991003,2/10/2010,rideout 02/10/10 wo#3263942
14923704,2/10/2010,rideout 02/10/10 wo#3263943
62050701,2/10/2010,CBS - Noise packet loss
34345302,2/10/2010,pending node maint. 2-12-10
35913202,2/10/2010,lp-(wo#44354163)
19150803,2/10/2010,NEXT LEVEL
6410004,2/10/2010,"Line problem. tiling upper HD channels at freq 603.000 DQI down to 0.1 to 10, no pre post errors."
56306201,2/10/2010,EOD error 3004.. Both of the customers digital boxes will not load on demand..
17974701,2/10/2010,Line Problem 44360295
38620701,2/10/2010,Line Problem Low MER at tap on Ch 99 25% of CM and 25% of MTA's on street show offline
32857511,2/10/2010,SLOW SPEEDS
15191903,2/10/2010,"Line problem - Low levels, high transmit"
6575602,2/11/2010,Line Problem Please check this out from node report. Possible area issue.
20976105,2/11/2010,Line Problem Alot of hi tx on this street can we look at this from node report.
37809708,2/11/2010,low signal at tap w/o#44359921
18457001,2/11/2010,line problem
39970904,2/11/2010,Line Problem
7041407,2/11/2010,no levels at the tap **DEAD TAP**
12220401,2/11/2010,Line Problem
60187201,2/11/2010,low levels and high mtix off tap. all levels are borderline or bad. tap needs higher levels and lower xmit.
25519611,2/11/2010,Line Problem_44360542_slow and intermittent connection
42418501,2/11/2010,Line Problem
47766603,2/11/2010,NO UPSTREAM PER CBS INSTALLER....
62441501,2/11/2010,line problem possible bad tap
33983602,2/11/2010,LP
55683501,2/11/2010,"Other - intermittent phone and data problems, sig levl problems"
23057603,2/11/2010,need 14/8 tap according to print - CBS Priority
9236507,2/11/2010,Line Problem/ Wont lock on Ch. 99 **NO SYNC**
27929601,2/11/2010,"line issue, CBS RPIORITY, raised noise floor causing NIU issues, multiple customers, HD0000020542071"
0,2/11/2010,DAILY DRIVEOUT 02/11/10 WO 3266358
0,2/11/2010,DAILY DRIVEOUT 02/11/10 WO 3266359
0,2/11/2010,DAILY DRIVEOUT 02/11/10 WO 3266360
41727812,2/11/2010,DAILY DRIVEOUT 02/11/10 WO 3266361
13907400,2/11/2010,rideout 02/11/10 wo#3266458
39267909,2/11/2010,Line Problem - DEAD TAP
56882801,2/11/2010,intermint inet. CH 99 has no MER or BER lock. please call FRANK SIMS at 405-659-0733 to getr access to basement.
60236101,2/11/2010,**priority** slow downloads and intermit loss of connection. remedy#HD0000020541825
54106901,2/11/2010,HD0000020542043
33837304,2/11/2010,line problem wo# 44365730
31130103,2/11/2010,line problem
20976105,2/11/2010,"intermit no dial tone with slow speeds, low mer off tap"
51068002,2/11/2010,Line Problem -
19030011,2/11/2010,Return Noise with file FROM NODE REPORT
14287809,2/11/2010,Line Problem - High end has low levels out of tap. also i seen water dripping out of port 2 on the tap. W/O # 44365155
45118305,2/19/2010,Line Problem
53666702,2/11/2010,Line Problem
24690111,2/11/2010,Line Problem - 99 has 0 dbmv out on the tap. MER flux from 30-35. see other notes for more info. W/O # 44362939
4266506,2/11/2010,Line Problem
0,2/12/2010,DAILY DRIVEOUT 02/12/10 WO 3268001
0,2/12/2010,DAILY DRIVEOUT 02/12/10 WO 3268002
31148801,2/12/2010,[WO#44366999 ]
20187001,2/12/2010,Line Problem
13031205,2/12/2010,Return Noise with file intermintent return noise.
53959603,2/12/2010,tap is full and needs to add 1 more cust
62451401,2/12/2010,"Line Problem - Low levels, low DQI, High TX @ tap"
61565402,2/12/2010,line prob
0,2/12/2010,rideout 02/12/10 wo#
59321201,2/12/2010,"line issue, CBS PRIORITY, noise in node, all customers with packet loss, turned over per Sup. Brad Austin, NOISE FILE"
52414001,2/12/2010,**priority** cust has trouble with data/phone mdm losing connection. some impulse noise according to soc. HD0000020544225
62153501,2/12/2010,"**priority**intermit noise causing problems with internet adn phones for 3 CBS accts... 931602, 28651001, 62153501."
56131601,2/12/2010,[WO# none ] COG box/Database not functioning properly
44856401,2/12/2010,line problem Next Level issue
7432504,2/12/2010,Line Problem NO DIAL TONE
53356502,2/12/2010,Line Problem
20258513,2/12/2010,Line Problem- Low levels. 10.7/-3.2 23/8 value tap.
54638107,2/12/2010,Line Problem low levels out of tap no ping or web site out of tap
14837915,2/12/2010,line problem
19595009,2/12/2010,Line Problem signal too low coming off tap
19811504,2/13/2010,green bullit ped lid missing
37834708,2/13/2010,LP - tap change
57343001,2/13/2010,tap replacement
26881301,2/13/2010,HD0000020545511
57664603,2/13/2010,wo 44372391 intermittent tiling at apt 6109 and 6111
20445611,2/13/2010,"slow speeds, intermit connect"
7636301,2/13/2010,Line Problem
26106602,2/13/2010,Line Problem - Noise in the Node AH18
39717608,2/13/2010,Line Problem -all services out
5589209,2/13/2010,"WO# 44368220, pre errors on 99"
1466608,2/13/2010,"Strand wire is broke, mainline not being supported, multiple midspan drops down"
39497802,2/13/2010,LP
17597601,2/13/2010,LINE PROBLEM VERY LOW LEVELS ON HIGH END 44368329
35366213,2/13/2010,The main line strand is not attached to the pole.
14570804,2/13/2010,"Low Levels, and high transmit out of tap, levels are fluctuating -"
39519903,2/13/2010,unsecurable ped
40734412,2/13/2010,line problem - INSTALL PRI
1963302,2/13/2010,line problem. Freq. 99 is low.
55396502,2/13/2010,LINE PROBLEM: MTA loses sync. Low levels at tap on 99
55810301,2/13/2010,CBS customer accidentally disconnected; please reconnect and tag [WO#44272450]
57315301,2/13/2010,lineproblem- intermitten problem
11230108,2/14/2010,okc dead tap
36938501,2/14/2010,low signal at the tap on low band. need to replace the tap with an 8 port tap.
36451802,2/14/2010,line problem
41562204,2/14/2010,Line Problem - Return to high at tap
36452602,2/14/2010,low to no voltage at the tap. also low signal at the tap.
42280903,2/14/2010,poss damage G power supply
36452401,2/14/2010,LP
4678601,2/14/2010,"Ped has been buried by customer, need raised about 3 feet."
29443601,2/14/2010,tap
766906,2/14/2010,"Line Problem, crack by tap"
41401904,2/14/2010,Line issue Work Order: 44375579
30403703,2/14/2010,line problem
51673302,2/14/2010,Line Problem
24843501,2/15/2010,Return Noise with file
20514507,2/15/2010,"Line Problem "" Low levels at the Tap"""
30496603,2/15/2010,line problem{44376540]
23795215,2/15/2010,line problem
51204301,2/15/2010,Return Noise with File
61945201,2/15/2010,"line issue, CBS PRIORITY, no reverse, only customer on run,HD0000020541874"
60561101,2/15/2010,CBS Priority Low Mer Pre and Post Errors at Tap
5279505,2/15/2010,"Line Problem - port #1 does not have a power-passing tick, but is still passing voltage"
30491901,2/15/2010,Escalate call Line problem
34406903,2/15/2010,Line problem - High levels
50224103,2/15/2010,LIne Problem Errors on most Frequencies
61572301,2/15/2010,"WO# 44365842, could not complete modem test off tap. Couldn't get upstream"
4841301ooooooooooooooooooooooo,2/15/2010,***priority***some popping and clicking noise on voice calls. remedy ticket # HD0000020547585
37897303,2/15/2010,line problem -
30393205,2/15/2010,Return Noise with file SOME DIG TILLING IN THIS NODE ALSO FROM NODE REPORT
43241603,2/15/2010,line problem
35481501,2/15/2010,"FDC issues one the mainline. I watched the FDC freq 73.25, on CH1 on my meter, go from 13 to -1, and back and forth."
0,2/15/2010,DAILY DRIVEOUT 02/15/10 WO 3270645
27426507,2/15/2010,DAILY DRIVEOUT 02/15/10 WO 3270646
11513003,2/15/2010,"No dial tone. no synch on data, Pre and post errors on ch 99"
18483706,2/15/2010,Line Problem -Multiple channels low at tap with no MER. Channels 110 to 113 and many channels above 113.
41978102,2/15/2010,line problem --
21534618,2/15/2010,line problem [w.o#44372345]
39717608,2/15/2010,line problem -
35715706,2/15/2010,bad cable will cut over 2/16/08
59401001,2/15/2010,HD0000020547486 see attachment
60486201,2/15/2010,custoemr unable to run credit cards and static on phones. will need to contact security ti access taps.
2290104,2/15/2010,Line Problem
42418501,2/15/2010,LP
23135903,2/15/2010,Line Problem NOISE FILE
19595009,2/15/2010,work order #44379169
41580601,2/15/2010,Line Problem wo(44376707)
8960405,2/15/2010,tap needs to be changed out could not get terminator off the tap install rescheduled for 2/16/10
30496801,2/15/2010,Line Problem
13463619,2/15/2010,Line Problem
26914702,2/15/2010,****next level**** line problem wo# 44377253
42003301,2/16/2010,line problem --
296733-01,2/16/2010,Please place MMANSIONS_PX on soft dialtone out of the OKCYOKEZDS0 switch
572410-02,2/16/2010,Please place SPM 18 x 108 ACCESS_2_PC_PRI in soft disconnect
31112502,2/16/2010,LINE PROBLEM / TX LEVELS 58.5 TO 60
59282401,2/16/2010,Return Noise with File
2315503,2/16/2010,line problem
62377801,2/16/2010,tap swap
42957601,2/16/2010,Line Problem -Low DQI and pre and post errors on channel 88
28556505,2/16/2010,broken port on tap (4)
38135504,2/16/2010,broken tap port
62377801,2/16/2010,waiting untill after 5 to swap tap out due to it feeding the sherrifs department
5832001,2/16/2010,CBS custoemr unable to send or receive faxes.
572410-02,2/16/2010,Remove non pay on OKC SPM 18 x 108 ACCESS_2_PC_PRI
0,2/16/2010,rideout 02/16/10 wo#3272508
9220706,2/16/2010,rideout 02/16/10 wo#3272509
10690202,2/16/2010,rideout 02/16/10 wo#3272510
0,2/16/2010,rideout 02/16/10 wo#3272511
44660503,2/16/2010,Plant Damage Was replacing drop and noticed squirrel chew on output of amp. not affecting my cust prob cust downstream
61491501,2/16/2010,HD0000020550554
33749006,2/16/2010,line problem [w.o#44385522]
49988201,2/16/2010,no DT at VP. stays in 4 blink. CH 80 and 81 very low and no sync at tap. CH99 is very low xmit also.
60337701,2/16/2010,line problem
12016112,2/16/2010,LP
44387604,2/16/2010,Line Problem
29247501,2/16/2010,line problem
277511,2/16/2010,digital tiling and black screen all channels .... levels were fluctuating so they are going to look weird
54461902,2/16/2010,line problem -
43066907,2/17/2010,line problem
18765706,2/17/2010,Line Problem -- low transmit at tap
60639901,2/17/2010,"line issue, CBS PRIORITY, noise in node, packet loss to all customers, turned over per Brad Austin"
43062814,2/17/2010,line problem
62062901,2/17/2010,intermint static on phones and unable to send or receive faxes.
25072317,2/17/2010,Line Problem
22642809,2/17/2010,line problem. low signal and high transmit on ch.99. Work order # 44383420
55955101,2/17/2010,Other - modem intermittent no synch
55974501,2/17/2010,CBS Packet Loss
0,2/17/2010,DAILY DRIVEOUT 02/17/10 WO 3274500 (5712 ARROW WOOD DR.)
11734002,2/17/2010,DAILY DRIVEOUT 02/17/10 WO 3274501
18478903,2/17/2010,DAILY DRIVEOUT 02/17/10 WO 3274502
22192612,2/17/2010,Line Problem
2084514,2/17/2010,"Line Problem, next level"
35559703,2/17/2010,line problem---freq 585----intermittent
57235801,2/17/2010,line problem
34474604,2/17/2010,AREA-Line issue
45205704,2/17/2010,"was doing install noticed tap ped pulled on tap to the north, ped in pieces and tap bent over mainline cables look cracked"
37397703,2/17/2010,tranmitt to high out of tap 53.5
40334701,2/17/2010,lp
15940105,2/17/2010,Pedistal Lid is missing
6413401,2/17/2010,Line Problem
61118301,2/17/2010,Line Problem
3695102,2/17/2010,Line problem
39631801,2/17/2010,Line Problem - Low levels at tap.
62377001,2/17/2010,HD0000020553989
21534314,2/18/2010,Return Noise with file
60736701,2/18/2010,work order # 44389413 - INSTALL PRI PER TECH
21535611,2/18/2010,Line Problem - Ongoing tiling issue - Levels look good
10318506,2/18/2010,Line Problem
60186501,2/18/2010,lp-(wo# 44392129)
46317703,2/18/2010,CUT MAIN LINE END OF RUN
16766705,2/18/2010,Line problem
2076808,2/18/2010,"Low MER, DQI 6-7 on ch 99, intermit no sync"
56425601,2/18/2010,CBS Priority All services down Very Low Levels At Tap
48898904,2/18/2010,Line Problem
47757803,2/18/2010,line problem. high transmit. pres and post.
685406,2/18/2010,"2 splitters at tap, causing low rf"
56688501,2/18/2010,modem no sync. low levels at tap.
47894105,2/18/2010,Line Problem
41134403,2/18/2010,Area issue causing snowy pic See system log for affected addresses
18485201,2/18/2010,Line Problem/ channel 99 not locking
9149301,2/18/2010,INTRMIT NDT
19351003,2/18/2010,[WO# ]
49856601,2/18/2010,[WO# ]
15409607,2/18/2010,tiling on 9 Mhz
47768801,2/18/2010,line problem - mainline needs moved over to new pole per tech
18486104,2/18/2010,Line Problem Snowy pic
62239301,2/18/2010,line problem Next Level.repeat
0,2/18/2010,DAILY DRIVEOUT 02/18/10 WO 3277070
0,2/18/2010,DAILY DRIVEOUT WO 3277071
3150904,2/18/2010,DAILY DRIVEOUT 02/18/10 WO 3277072
